"","variable","missingValues","class","distinctValues","perMissingValues","sampleValue","nonMissingValues","missingPercentage","minimum","mean","maximum","stdDeviation","variance","p01","p05","p10","p25","p50","p75","p90","p95","p99","numOutliers"
"973","TM.VAL.MRCH.R4.ZS",1366,"numeric",3899,25.2,"0.143481139532442",4054,25.2,0,2.07993942895101,75.4439861908061,4.83137242805062,23.3421595385277,0,0.000790690130648359,0.00826466280718976,0.0780277268731309,0.538143495645521,2.05882897087715,5.06153008539575,8.10104226975642,25.5057122252046,407
"974","TM.VAL.MRCH.R5.ZS",1250,"numeric",4116,23.06,NA,4170,23.06,0,2.49025117090829,62.4283447226091,5.15455273799406,26.5694139287621,0,0.0729932968157108,0.153855206774464,0.37535760271408,0.92073324570379,2.33867815173175,5.6383413819287,10.0098925507401,24.423411861454,453
"975","TM.VAL.MRCH.R6.ZS",1713,"numeric",3651,31.61,"1.25840865695569",3707,31.61,0,5.52960175432248,77.9573117762728,11.3522537817954,128.873665926288,0,0.0221756959770255,0.0547315922024487,0.205944573930652,0.733911045909797,3.94094233904655,19.0227021154401,29.3360516237033,58.7522012487713,647
"976","TM.VAL.MRCH.RS.ZS",986,"numeric",4364,18.19,"4.28958327263379",4434,18.19,-0.000337974016309572,7.37741692591392,100,14.867282767125,221.036096877651,-1.59200672016272e-14,0.00258496141616407,0.0183149048762389,0.268441143864954,1.80891693418641,7.59170418379847,20.2190139135407,33.4081647777578,100,490
"977","TM.VAL.MRCH.WL.CD",986,"numeric",4435,18.19,"1652586525.189",4434,18.19,2278192.86416,52143227170.8829,2.34768e+12,167673035056.725,2.81142466851338e+22,63867375.2019021,160657174.453935,335445450.99083,1007750526.71025,4510261591.606,25856143597.4875,125156472352.84,268556161786.508,718125868548,690
"978","TM.VAL.MRCH.WR.ZS",2716,"numeric",2701,50.11,NA,2704,50.11,0,19.5289205797826,89.9463905412352,16.1173473955246,259.768887068025,0.583324997493105,1.99121837975709,3.32582798031926,7.4646620726869,15.571578750916,27.3766077601191,40.8466899750575,52.1662750008639,78.2759713132671,105
"979","TM.VAL.MRCH.XD.WD",899,"numeric",4301,16.59,"63.7108968579",4521,16.59,3.1604901375,199.445988077404,1662.9711751663,178.009142654961,31687.2548687543,33.45287169098,56.7868372779,72.7159483132,94.2350332594,128.4931506849,242.2701027284,420.7952636001,555.3377795742,929.797428544982,360
"980","TM.VAL.OTHR.ZS.WT",3828,"numeric",1593,70.63,NA,1592,70.63,-466.814778928468,36.0752463448496,1098.52860351262,38.6052058920889,1490.36192197058,-20.3999385575974,4.88794021373497,12.9066241596336,23.825949892786,35.6005268991395,47.424990369948,58.9451872318728,69.3785331960827,81.7638871137905,39
"981","TM.VAL.SERV.CD.WT",3766,"numeric",1655,69.48,"7421207194.28877",1654,69.48,-35717779.328189,21282973618.2526,4.5209e+11,50659643170.4509,2.56639944615741e+21,24275832.68107,72074662.6041943,139781943.368154,566163322.07926,2276396127.69403,13931432664.8239,66000670524.6187,113771769596.707,269390011385.888,261
"982","TM.VAL.TRAN.ZS.WT",3846,"numeric",1575,70.96,NA,1574,70.96,-468.485369249213,35.4089970290137,293.958142488751,23.4074546762389,547.908934420178,3.32304639903981,11.7803270420992,15.4885874884695,23.8316354216263,33.9693048762418,46.3642794128627,56.4898416468784,64.7658111457848,81.7871577530078,20
